Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-08-29,Drive,2011,https://boxd.it/26duRP,3,,,2021-08-02
2021-08-29,Another Round,2020,https://boxd.it/26duuV,4.5,,,2021-08-03
2021-08-29,Argo,2012,https://boxd.it/26duuB,3.5,,,2021-08-04
2021-08-29,The Dirty Dozen,1967,https://boxd.it/26duPT,3,,,2021-08-04
2021-08-29,The Suicide Squad,2021,https://boxd.it/26duQd,3.5,,,2021-08-05
2021-08-29,Nomadland,2020,https://boxd.it/26duWb,4.5,,,2021-08-06
2021-08-29,Star Wars,1977,https://boxd.it/26fJOv,4.5,Yes,,2021-08-07
2021-08-29,The Empire Strikes Back,1980,https://boxd.it/26fJYZ,5,Yes,,2021-08-07
2021-08-29,Return of the Jedi,1983,https://boxd.it/26fK9D,5,Yes,,2021-08-07
2021-08-29,Raya and the Last Dragon,2021,https://boxd.it/26duOB,2.5,,,2021-08-10
2021-08-29,Thor: The Dark World,2013,https://boxd.it/26fJdp,2,Yes,,2021-08-11
2021-08-29,The Father,2020,https://boxd.it/26duuL,4.5,,,2021-08-13
2021-08-29,Iron Man 3,2013,https://boxd.it/26fIuz,2,Yes,,2021-08-13
2021-08-29,Uncut Gems,2019,https://boxd.it/26duPJ,3.5,,,2021-08-15
2021-08-29,Minari,2020,https://boxd.it/26fvwH,3,,,2021-08-17
2021-08-29,Sound of Metal,2019,https://boxd.it/26duP5,3.5,,,2021-08-19
2021-08-29,Zodiac,2007,https://boxd.it/26duMb,4,,,2021-08-20
2021-08-29,Captain America: The Winter Soldier,2014,https://boxd.it/26fGZP,3,Yes,,2021-08-23
2021-08-29,Guardians of the Galaxy,2014,https://boxd.it/26fGvb,3.5,Yes,,2021-08-27
2021-08-29,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/26fGJd,1.5,Yes,,2021-08-27
2021-08-29,Seven Years in Tibet,1997,https://boxd.it/26duxv,2,,,2021-08-28
2021-08-30,Die Hard,1988,https://boxd.it/26mLnP,4,,,2021-08-29
2021-08-30,Moon,2009,https://boxd.it/26o8xP,4,,,2021-08-29
2021-09-01,Avengers: Age of Ultron,2015,https://boxd.it/26IdlJ,3,Yes,,2021-08-31
2021-09-03,Catch Me If You Can,2002,https://boxd.it/26YxKB,4.5,Yes,,2021-09-02
2021-09-06,Edge of Tomorrow,2014,https://boxd.it/27ozf3,4,,,2021-09-05
